customer_id,recency,frequency,monetary,avg_order_value,tenure_days,churn,churn_probability,purchase_frequency,expected_lifetime,CLV
12346,165,11,372.86,11.29878787878788,196,1,0.9999370657402865,0.05612244897959184,1.0000619380958036,0.6341549221741519
12347,3,2,1323.32,18.63830985915493,37,0,1.0816890667690874e-05,0.05405405405405406,84624.62995736669,85257.30134387704
12348,74,1,222.16,11.108,1,0,0.09733502794682086,1.0,10.273688181999226,114.12012832564741
12349,43,3,2671.14,26.18764705882353,181,0,0.0014906563635820004,0.016574585635359115,670.3956919398262,290.98484702114837
12351,11,1,300.93,14.33,1,0,3.168183787334466e-05,1.0,30598.034415182054,438469.83316955884
12352,11,2,343.8,19.1,16,0,3.238542715690088e-05,0.125,29953.188716152064,71513.23805981305
12353,44,1,317.76,15.888,1,0,0.0022335641355652174,1.0,447.5145663013413,7110.111429395711
12355,203,1,488.21,22.19136363636364,1,1,0.9999994484366463,1.0,0.9999995515635548,22.191353684947416
12356,16,3,3560.3,42.89518072289157,44,0,5.61010137811979e-05,0.06818181818181818,17512.82391993674,51219.25547821805
12357,24,2,12079.99,73.2120606060606,1,0,0.00012497938918310412,2.0,7937.806386301453,1162286.3244661537
12358,11,3,2719.01,46.879482758620696,356,0,1.7813661342884675e-05,0.008426966292134831,53152.86491952295,20998.13607780397
12359,61,6,2563.36,21.90905982905983,308,0,0.01409764479161149,0.01948051948051948,70.92880307155387,30.272403703213175
12360,15,5,1590.83,18.07761363636364,276,0,3.9089879850243665e-05,0.018115942028985508,24943.9510354113,8168.969372872071
12361,98,3,321.35,16.913157894736845,220,1,0.6445145196559834,0.013636363636363636,1.5515530185118893,0.3578408343292792
12362,374,1,130.0,130.0,1,1,0.9999999999999998,1.0,0.9999990000010003,129.99987000013004
12366,269,1,500.24,166.74666666666667,1,1,0.9999999998877629,1.0,0.999999000113237,166.7464999388819
12368,264,1,917.7,50.98333333333333,1,1,0.9999999997862614,1.0,0.9999990002147382,50.98328236094806
12369,49,3,1791.15,19.25967741935484,228,0,0.00306293779785464,0.013157894736842105,326.3773829547705,82.7095146405542
12370,260,3,774.62,22.132,44,1,0.9999999996535482,0.06818181818181818,0.9999990003474512,1.5089984915243038
12371,45,3,2179.42,20.95596153846154,235,0,0.0017878549192091614,0.01276595744680851,559.0168264970823,149.54980998415766
12373,260,2,763.0500000000001,20.62297297297297,49,1,0.9999999996332245,0.04081632653061224,0.9999990003677749,0.841753157452433
12374,57,3,2246.29,44.9258,166,0,0.009333675922690755,0.018072289156626505,107.12744698176371,86.97806489662626
12376,25,2,503.15,38.70384615384615,28,0,0.00019189907901559502,0.07142857142857142,5184.057928649595,14331.641465934303
12377,17,2,1798.2,23.976,208,0,4.86475852215041e-05,0.009615384615384616,20141.966533487415,4643.497976989368
12378,198,1,1407.7,17.167073170731708,1,1,0.9999989202160642,1.0,1.0000000797839421,17.16707454038848
12379,58,2,767.98,18.73121951219512,112,0,0.01157728449093616,0.017857142857142856,86.36858083620514,28.889086546423698
12380,101,7,6951.49,40.18202312138728,197,1,0.7347941928460577,0.03553299492385787,1.360923437899387,1.943109641303438
12385,15,1,1938.4,29.821538461538463,1,0,5.0492465334332445e-05,1.0,19420.317001859552,579143.7304062239
12386,2,1,258.90000000000003,32.362500000000004,1,0,9.909672105085551e-06,1.0,91661.78326604786,2966404.4609474745
12387,51,1,143.94,15.993333333333332,1,0,0.0055219301274772835,1.0,181.06330822924448,2895.805842946383
12388,81,2,1120.45,24.35760869565217,136,0,0.1779117800730082,0.014705882352941176,5.620731684309809,2.013346808083416
12389,38,3,1433.33,29.251632653061225,253,0,0.0007185259819505953,0.011857707509881422,1389.8038779490007,482.06362645332933
